sentence,video_name,video_path,exists,fps,frames,duration,width,height
are you free today,free (2).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (2).MP4,True,25.0,78.0,3.12,1920.0,1080.0
are you free today,free (3).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (3).MP4,True,25.0,98.0,3.92,1920.0,1080.0
are you free today,free (4).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (4).MP4,True,25.0,82.0,3.28,1920.0,1080.0
are you free today,free (5).MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free (5).MP4,True,25.0,117.0,4.68,1920.0,1080.0
are you free today,free.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you free today\free.MP4,True,25.0,101.0,4.04,1920.0,1080.0
are you hiding something,MVI_6209.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6209.MP4,True,25.0,95.0,3.8,1920.0,1080.0
are you hiding something,MVI_6507.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6507.MP4,True,25.0,83.0,3.32,1920.0,1080.0
are you hiding something,MVI_6685.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6685.MP4,True,25.0,87.0,3.48,1920.0,1080.0
are you hiding something,MVI_6817.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6817.MP4,True,25.0,101.0,4.04,1920.0,1080.0
are you hiding something,MVI_6958.MP4,C:\Users\nisho\OneDrive\Desktop\ISL-rec\data\raw\ISL_CSLRT_Corpus\Videos_Sentence_Level\are you hiding something\MVI_6958.MP4,True,25.0,106.0,4.24,1920.0,1080.0
